text,language,category,sentiment_score,priority_weight
মশার উপদ্রব হচ্ছে ময়লার কারণে,bangla,waste,-0.8641,0.5087
Waste hotspot beside the canal is growing,english,waste,-0.4125,0.6439
Need regular waste collection in sector 3,english,waste,-0.7455,0.5516
Waste hotspot beside the canal is growing,english,waste,-0.7232,0.6764
Need regular waste collection in sector 14,english,waste,-0.8862,0.4299
রাস্তার গর্তে যানজট ও দুর্ঘটনা হচ্ছে,bangla,road_damage,-0.5695,0.4952
Potholes near junction 12 damage vehicles,english,road_damage,-0.7318,0.3802
Ambulance cannot pass because road is broken,english,road_damage,-0.5328,0.4483
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.3749,0.581
Road patch repair is needed urgently,english,road_damage,-0.4661,0.6321
Road patch repair is needed urgently,english,road_damage,-0.252,0.4276
রাস্তার গর্তে যানজট ও দুর্ঘটনা হচ্ছে,bangla,road_damage,-0.3792,0.5356
Potholes near junction 10 damage vehicles,english,road_damage,-0.4159,0.6583
রাস্তার গর্তে যানজট ও দুর্ঘটনা হচ্ছে,bangla,road_damage,-0.6091,0.5874
Road patch repair is needed urgently,english,road_damage,-0.7631,0.6085
Potholes near junction 19 damage vehicles,english,road_damage,-0.7606,0.6138
Potholes near junction 16 damage vehicles,english,road_damage,-0.7728,0.4194
Potholes near junction 8 damage vehicles,english,road_damage,-0.6411,0.4502
Ambulance cannot pass because road is broken,english,road_damage,-0.4804,0.5186
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.9524,0.3801
রাস্তার গর্তে যানজট ও দুর্ঘটনা হচ্ছে,bangla,road_damage,-0.6812,0.5166
রাস্তার গর্তে যানজট ও দুর্ঘটনা হচ্ছে,bangla,road_damage,-0.418,0.6488
Ambulance cannot pass because road is broken,english,road_damage,-0.666,0.5325
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.691,0.4569
Ambulance cannot pass because road is broken,english,road_damage,-0.7865,0.5024
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.4507,0.4757
Ambulance cannot pass because road is broken,english,road_damage,-1.0,0.5094
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.2275,0.4687
Potholes near junction 11 damage vehicles,english,road_damage,-0.3556,0.3758
রাস্তার গর্তে যানজট ও দুর্ঘটনা হচ্ছে,bangla,road_damage,-0.3185,0.4441
Potholes near junction 20 damage vehicles,english,road_damage,-0.4316,0.5028
রাস্তার গর্তে যানজট ও দুর্ঘটনা হচ্ছে,bangla,road_damage,-0.7714,0.4561
Road patch repair is needed urgently,english,road_damage,-0.8858,0.4001
রাস্তার গর্তে যানজট ও দুর্ঘটনা হচ্ছে,bangla,road_damage,-0.4709,0.4807
Ambulance cannot pass because road is broken,english,road_damage,-0.2776,0.4744
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-1.0,0.6351
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.8701,0.2546
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.6143,0.6455
Road patch repair is needed urgently,english,road_damage,-1.0,0.6401
রাস্তার গর্তে যানজট ও দুর্ঘটনা হচ্ছে,bangla,road_damage,-0.6563,0.5855
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.9437,0.4776
Ambulance cannot pass because road is broken,english,road_damage,-0.8645,0.5877
Ambulance cannot pass because road is broken,english,road_damage,-0.8876,0.4423
Potholes near junction 15 damage vehicles,english,road_damage,-1.0,0.5706
Potholes near junction 19 damage vehicles,english,road_damage,-0.6862,0.49
Ambulance cannot pass because road is broken,english,road_damage,-0.728,0.6691
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.5638,0.4758
Road patch repair is needed urgently,english,road_damage,-0.1582,0.608
রাস্তার গর্তে যানজট ও দুর্ঘটনা হচ্ছে,bangla,road_damage,-0.3811,0.6574
Ambulance cannot pass because road is broken,english,road_damage,-0.6148,0.4135
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.474,0.6532
Road patch repair is needed urgently,english,road_damage,-0.6247,0.5106
Ambulance cannot pass because road is broken,english,road_damage,-1.0,0.3473
রাস্তার গর্তে যানজট ও দুর্ঘটনা হচ্ছে,bangla,road_damage,-0.617,0.5257
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.6851,0.3659
Road patch repair is needed urgently,english,road_damage,-0.6457,0.5163
Ambulance cannot pass because road is broken,english,road_damage,-0.8331,0.5318
Road patch repair is needed urgently,english,road_damage,-1.0,0.6072
Ambulance cannot pass because road is broken,english,road_damage,-1.0,0.7228
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.5535,0.5164
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.4942,0.542
Road patch repair is needed urgently,english,road_damage,-0.68,0.5334
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.6731,0.5546
Ambulance cannot pass because road is broken,english,road_damage,-0.2461,0.6483
Road patch repair is needed urgently,english,road_damage,-0.6465,0.5952
Potholes near junction 17 damage vehicles,english,road_damage,0.0544,0.5083
Potholes near junction 9 damage vehicles,english,road_damage,-0.6171,0.67
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.8845,0.4392
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.5325,0.5143
Road patch repair is needed urgently,english,road_damage,-0.4639,0.7323
রাস্তার গর্তে যানজট ও দুর্ঘটনা হচ্ছে,bangla,road_damage,-0.9685,0.5742
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.4844,0.2931
Potholes near junction 17 damage vehicles,english,road_damage,-0.8151,0.4862
Potholes near junction 4 damage vehicles,english,road_damage,-0.7211,0.535
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.7406,0.5487
Road patch repair is needed urgently,english,road_damage,-0.9366,0.4518
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.7889,0.5335
"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.7521,0.5524
Road patch repair is needed urgently,english,road_damage,-0.4363,0.4097
Ambulance cannot pass because road is broken,english,road_damage,-0.2898,0.5514
Need WASA support for pipeline leak,english,water_supply,-0.7111,0.5964
"পানির লাইনে সমস্যা, বিশুদ্ধ পানি পাওয়া যাচ্ছে না",bangla,water_supply,-0.7518,0.4551
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.5521,0.5374
Water pressure is too low in the morning,english,water_supply,-0.8828,0.4378
"পানির লাইনে সমস্যা, বিশুদ্ধ পানি পাওয়া যাচ্ছে না",bangla,water_supply,-0.6852,0.4684
Need WASA support for pipeline leak,english,water_supply,-0.4696,0.6624
Drinking water smells bad this week,english,water_supply,-0.9414,0.76
"পানির লাইনে সমস্যা, বিশুদ্ধ পানি পাওয়া যাচ্ছে না",bangla,water_supply,-0.3644,0.7075
Water pressure is too low in the morning,english,water_supply,-0.6391,0.5468
Drinking water smells bad this week,english,water_supply,-0.7532,0.4597
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.6572,0.558
Drinking water smells bad this week,english,water_supply,-0.6588,0.5455
Drinking water smells bad this week,english,water_supply,-0.731,0.5591
Drinking water smells bad this week,english,water_supply,-0.8255,0.3959
"পানির লাইনে সমস্যা, বিশুদ্ধ পানি পাওয়া যাচ্ছে না",bangla,water_supply,-0.6923,0.6193
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.7769,0.3874
Drinking water smells bad this week,english,water_supply,-0.749,0.6487
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.6943,0.5879
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.578,0.5219
Water pressure is too low in the morning,english,water_supply,-0.761,0.5426
"পানির লাইনে সমস্যা, বিশুদ্ধ পানি পাওয়া যাচ্ছে না",bangla,water_supply,-0.7116,0.5123
Drinking water smells bad this week,english,water_supply,-0.5825,0.5895
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.6046,0.4851
Drinking water smells bad this week,english,water_supply,-0.6109,0.5539
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.5247,0.5667
"পানির লাইনে সমস্যা, বিশুদ্ধ পানি পাওয়া যাচ্ছে না",bangla,water_supply,-0.7377,0.6409
Water pressure is too low in the morning,english,water_supply,-0.7847,0.6231
Drinking water smells bad this week,english,water_supply,-0.4946,0.659
Water pressure is too low in the morning,english,water_supply,-0.7627,0.5748
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-1.0,0.4733
Water pressure is too low in the morning,english,water_supply,-0.8464,0.522
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.7108,0.6844
Water pressure is too low in the morning,english,water_supply,-0.4765,0.5351
Drinking water smells bad this week,english,water_supply,-0.7705,0.4693
Need WASA support for pipeline leak,english,water_supply,-0.3154,0.6132
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.6751,0.5782
